awardYear,category,categoryFullName,dateAwarded,prizeAmount,prizeAmountAdjusted,linksHref,laureateID,laureateName,laureateSortOrder
1944,Literature,The Nobel Prize in Literature,1944-11-09,121841,2843849,https://api.nobelprize.org/2/nobelPrize/lit/1944,614,Johannes V. Jensen,1
1944,Peace,The Nobel Peace Prize,1945-11-12,121841,2843849,https://api.nobelprize.org/2/nobelPrize/pea/1944,482,,1
1944,Physics,The Nobel Prize in Physics,1944-11-09,121841,2843849,https://api.nobelprize.org/2/nobelPrize/phy/1944,49,Isidor Isaac Rabi,1
1944,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1944-10-26,121841,2843849,https://api.nobelprize.org/2/nobelPrize/med/1944,337,Joseph Erlanger,1
1944,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1944-10-26,121841,2843849,https://api.nobelprize.org/2/nobelPrize/med/1944,338,Herbert S. Gasser,2
1945,Chemistry,The Nobel Prize in Chemistry,1945-11-15,121333,2831992,https://api.nobelprize.org/2/nobelPrize/che/1945,203,Artturi Virtanen,1
1945,Literature,The Nobel Prize in Literature,1945-11-15,121333,2831992,https://api.nobelprize.org/2/nobelPrize/lit/1945,615,Gabriela Mistral,1
1945,Peace,The Nobel Peace Prize,1945-11-12,121333,2831992,https://api.nobelprize.org/2/nobelPrize/pea/1945,505,Cordell Hull,1
1945,Physics,The Nobel Prize in Physics,1945-11-15,121333,2831992,https://api.nobelprize.org/2/nobelPrize/phy/1945,50,Wolfgang Pauli,1
1945,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1945-10-25,121333,2831992,https://api.nobelprize.org/2/nobelPrize/med/1945,339,Sir Alexander Fleming,1
1945,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1945-10-25,121333,2831992,https://api.nobelprize.org/2/nobelPrize/med/1945,340,Ernst B. Chain,2
1945,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1945-10-25,121333,2831992,https://api.nobelprize.org/2/nobelPrize/med/1945,341,Sir Howard Florey,3
1946,Chemistry,The Nobel Prize in Chemistry,1946-11-14,121524,2836450,https://api.nobelprize.org/2/nobelPrize/che/1946,204,James B. Sumner,1
1946,Chemistry,The Nobel Prize in Chemistry,1946-11-14,121524,2836450,https://api.nobelprize.org/2/nobelPrize/che/1946,205,John H. Northrop,2
1946,Chemistry,The Nobel Prize in Chemistry,1946-11-14,121524,2836450,https://api.nobelprize.org/2/nobelPrize/che/1946,206,Wendell M. Stanley,3
1946,Literature,The Nobel Prize in Literature,1946-11-14,121524,2836450,https://api.nobelprize.org/2/nobelPrize/lit/1946,617,Hermann Hesse,1
1946,Peace,The Nobel Peace Prize,1946-11-14,121524,2836450,https://api.nobelprize.org/2/nobelPrize/pea/1946,506,Emily Greene Balch,1
1946,Peace,The Nobel Peace Prize,1946-11-14,121524,2836450,https://api.nobelprize.org/2/nobelPrize/pea/1946,507,John R. Mott,2
1946,Physics,The Nobel Prize in Physics,1946-11-14,121524,2836450,https://api.nobelprize.org/2/nobelPrize/phy/1946,51,Percy W. Bridgman,1
1946,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1946-10-31,121524,2836450,https://api.nobelprize.org/2/nobelPrize/med/1946,342,Hermann J. Muller,1
1947,Chemistry,The Nobel Prize in Chemistry,1947-11-13,146115,3301577,https://api.nobelprize.org/2/nobelPrize/che/1947,207,Sir Robert Robinson,1
1947,Literature,The Nobel Prize in Literature,1947-11-13,146115,3301577,https://api.nobelprize.org/2/nobelPrize/lit/1947,618,André Gide,1
1947,Peace,The Nobel Peace Prize,1947-10-30,146115,3301577,https://api.nobelprize.org/2/nobelPrize/pea/1947,508,,1
1947,Peace,The Nobel Peace Prize,1947-10-30,146115,3301577,https://api.nobelprize.org/2/nobelPrize/pea/1947,509,,2
1947,Physics,The Nobel Prize in Physics,1947-11-13,146115,3301577,https://api.nobelprize.org/2/nobelPrize/phy/1947,52,Edward V. Appleton,1
1947,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1947-10-23,146115,3301577,https://api.nobelprize.org/2/nobelPrize/med/1947,343,Carl Cori,1
1947,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1947-10-23,146115,3301577,https://api.nobelprize.org/2/nobelPrize/med/1947,344,Gerty Cori,2
1947,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1947-10-23,146115,3301577,https://api.nobelprize.org/2/nobelPrize/med/1947,345,Bernardo Houssay,3
1948,Chemistry,The Nobel Prize in Chemistry,1948-11-04,159773,3462835,https://api.nobelprize.org/2/nobelPrize/che/1948,208,Arne Tiselius,1
1948,Literature,The Nobel Prize in Literature,1948-11-04,159773,3462835,https://api.nobelprize.org/2/nobelPrize/lit/1948,619,T.S. Eliot,1
1948,Physics,The Nobel Prize in Physics,1948-11-04,159773,3462835,https://api.nobelprize.org/2/nobelPrize/phy/1948,53,Patrick M.S. Blackett,1
1948,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1948-10-28,159773,3462835,https://api.nobelprize.org/2/nobelPrize/med/1948,346,Paul Müller,1
1949,Chemistry,The Nobel Prize in Chemistry,1949-11-03,156290,3319600,https://api.nobelprize.org/2/nobelPrize/che/1949,209,William F. Giauque,1
1949,Literature,The Nobel Prize in Literature,1950-11-10,156290,3319600,https://api.nobelprize.org/2/nobelPrize/lit/1949,620,William Faulkner,1
1949,Peace,The Nobel Peace Prize,1949-10-12,156290,3319600,https://api.nobelprize.org/2/nobelPrize/pea/1949,510,Lord Boyd Orr,1
1949,Physics,The Nobel Prize in Physics,1949-11-03,156290,3319600,https://api.nobelprize.org/2/nobelPrize/phy/1949,54,Hideki Yukawa,1
1949,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1949-10-27,156290,3319600,https://api.nobelprize.org/2/nobelPrize/med/1949,347,Walter Hess,1
1949,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1949-10-27,156290,3319600,https://api.nobelprize.org/2/nobelPrize/med/1949,348,Egas Moniz,2
1950,Chemistry,The Nobel Prize in Chemistry,1950-11-10,164304,3455264,https://api.nobelprize.org/2/nobelPrize/che/1950,210,Otto Diels,1
1950,Chemistry,The Nobel Prize in Chemistry,1950-11-10,164304,3455264,https://api.nobelprize.org/2/nobelPrize/che/1950,211,Kurt Alder,2
1950,Literature,The Nobel Prize in Literature,1950-11-10,164304,3455264,https://api.nobelprize.org/2/nobelPrize/lit/1950,621,Bertrand Russell,1
1950,Peace,The Nobel Peace Prize,1950-09-22,164304,3455264,https://api.nobelprize.org/2/nobelPrize/pea/1950,511,Ralph Bunche,1
1950,Physics,The Nobel Prize in Physics,1950-11-10,164304,3455264,https://api.nobelprize.org/2/nobelPrize/phy/1950,55,Cecil Powell,1
1950,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1950-10-26,164304,3455264,https://api.nobelprize.org/2/nobelPrize/med/1950,349,Edward C. Kendall,1
1950,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1950-10-26,164304,3455264,https://api.nobelprize.org/2/nobelPrize/med/1950,350,Tadeus Reichstein,2
1950,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1950-10-26,164304,3455264,https://api.nobelprize.org/2/nobelPrize/med/1950,351,Philip S. Hench,3
1951,Chemistry,The Nobel Prize in Chemistry,1951-11-15,167612,3042802,https://api.nobelprize.org/2/nobelPrize/che/1951,212,Edwin M. McMillan,1
1951,Chemistry,The Nobel Prize in Chemistry,1951-11-15,167612,3042802,https://api.nobelprize.org/2/nobelPrize/che/1951,213,Glenn T. Seaborg,2
1951,Literature,The Nobel Prize in Literature,1951-11-15,167612,3042802,https://api.nobelprize.org/2/nobelPrize/lit/1951,622,Pär Lagerkvist,1
1951,Peace,The Nobel Peace Prize,1951-11-05,167612,3042802,https://api.nobelprize.org/2/nobelPrize/pea/1951,512,Léon Jouhaux,1
1951,Physics,The Nobel Prize in Physics,1951-11-15,167612,3042802,https://api.nobelprize.org/2/nobelPrize/phy/1951,56,John Cockcroft,1
1951,Physics,The Nobel Prize in Physics,1951-11-15,167612,3042802,https://api.nobelprize.org/2/nobelPrize/phy/1951,57,Ernest T.S. Walton,2
1951,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1951-10-18,167612,3042802,https://api.nobelprize.org/2/nobelPrize/med/1951,352,Max Theiler,1
1952,Chemistry,The Nobel Prize in Chemistry,1952-11-06,171135,2884847,https://api.nobelprize.org/2/nobelPrize/che/1952,214,Archer J.P. Martin,1
1952,Chemistry,The Nobel Prize in Chemistry,1952-11-06,171135,2884847,https://api.nobelprize.org/2/nobelPrize/che/1952,215,Richard L.M. Synge,2
